Cluster,Negative,Positive,Top Words
25,181,17,"[('warranty', 81), ('less', 54), ('was', 42), ('outside', 41), ('year', 38), ('screen', 36), ('computer', 29), ('asus', 25), ('last', 22), ('laptop', 22), ('product', 20), ('get', 19), ('months', 19), ('bought', 18), ('customer', 16)]"
27,37,5,"[('back', 13), ('less', 9), ('item', 7), ('price', 7), ('change', 6), ('system', 6), ('several', 6), ('office', 5), ('laptop', 5), ('computer', 5), ('lot', 5), ('memory', 5), ('purchased', 5), ('well', 5), ('seems', 4)]"
28,68,2,"[('gb', 41), ('less', 31), ('drive', 28), ('solid', 27), ('state', 26), ('ssd', 16), ('internal', 14), ('memory', 13), ('ram', 13), ('intel', 13), ('processor', 13), ('can', 12), ('one', 10), ('core', 10), ('laptop', 9)]"
30,91,6,"[('less', 44), ('last', 29), ('battery', 28), ('power', 24), ('year', 20), ('laptop', 19), ('months', 16), ('computer', 14), ('charge', 12), ('cord', 12), ('would', 11), ('purchased', 11), ('wont', 11), ('longer', 11), ('two', 9)]"
31,34,0,"[('price', 12), ('less', 11), ('laptop', 8), ('around', 8), ('hours', 8), ('last', 8), ('regular', 8), ('macbook', 7), ('spent', 6), ('browsing', 5), ('was', 5), ('pro', 5), ('pay', 5), ('chromebook', 4), ('get', 4)]"
32,302,1,"[('screen', 130), ('less', 94), ('computer', 67), ('back', 47), ('last', 46), ('blue', 44), ('later', 43), ('laptop', 41), ('was', 36), ('months', 32), ('year', 30), ('working', 26), ('week', 25), ('day', 24), ('one', 24)]"
33,47,54,"[('would', 62), ('nice', 24), ('google', 21), ('great', 17), ('chromebook', 16), ('computer', 15), ('can', 14), ('able', 14), ('use', 13), ('one', 13), ('chrome', 13), ('like', 13), ('year', 10), ('without', 10), ('anything', 10)]"
34,7,5,"[('would', 6), ('hopefully', 5), ('helpful', 5), ('service', 4), ('customer', 4), ('english', 4), ('love', 3), ('battery', 3), ('estimates', 3), ('seem', 3), ('information', 3), ('life', 3), ('someone', 3), ('manufacturers', 3), ('less', 3)]"
35,6,6,"[('computer', 6), ('would', 6), ('laptop', 5), ('always', 4), ('reading', 3), ('think', 3), ('one', 3), ('open', 3), ('was', 3), ('whether', 3), ('can', 3), ('need', 3), ('things', 3), ('less', 2), ('good', 2)]"
36,0,8,"[('usb', 17), ('instead', 10), ('core', 10), ('would', 8), ('nice', 6), ('ports', 6), ('cant', 5), ('dual', 5), ('unit', 5), ('chromebook', 5), ('little', 5), ('start', 5), ('beat', 5), ('reason', 5), ('quad', 5)]"
37,7,0,"[('save', 4), ('want', 3), ('device', 3), ('making', 3), ('go', 2), ('panel', 2), ('plastic', 2), ('was', 2), ('excuse', 2), ('half', 2), ('keyboards', 2), ('load', 1), ('via', 1), ('x', 1), ('hour', 1)]"
38,31,5,"[('macbook', 15), ('less', 9), ('last', 9), ('air', 9), ('drive', 8), ('screen', 7), ('retina', 7), ('years', 6), ('solid', 6), ('apple', 5), ('would', 5), ('display', 5), ('pro', 5), ('touch', 4), ('overall', 4)]"
39,110,195,"[('would', 174), ('nice', 79), ('screen', 78), ('was', 64), ('less', 58), ('laptop', 55), ('like', 49), ('great', 43), ('wish', 39), ('use', 37), ('price', 36), ('gb', 36), ('one', 35), ('will', 34), ('can', 32)]"
